PERFIL_NUTRICIONAL; MOTORISTA; CODRACAO; TIPO_RACAO; TRATO; DIAS_CONF; DATA_ENTR; DATA_CONSUMO; LOTE; CURRAL; CAB; LEITURA; MS_DIETA; PREVISTO; REALIZADO; HORA_INICIAL; HORA_FINAL
TT;GUILHERME;10479;TERMINAÇÃO;4;55;05/12/2024;28/01/2025;11156;CUR-19;135;1;63,8252;845;860;16:46:45;16:47:12
TT;GUILHERME;10479;TERMINAÇÃO;1;71;19/11/2024;28/01/2025;11136;CUR-2;155;1;63,8252;746,2499;760;07:32:37;07:33:04
TT;GUILHERME;10479;TERMINAÇÃO;2;71;19/11/2024;28/01/2025;11136;CUR-2;155;1;63,8252;746,2499;755;10:22:43;10:23:12
TT;GUILHERME;10479;TERMINAÇÃO;3;71;19/11/2024;28/01/2025;11136;CUR-2;155;1;63,8252;746,2499;755;13:16:11;13:16:37
TT;GUILHERME;10479;TERMINAÇÃO;4;71;19/11/2024;28/01/2025;11136;CUR-2;155;1;63,8252;714,9996;715;16:07:33;16:07:56
TT;GUILHERME;10479;TERMINAÇÃO;1;56;04/12/2024;28/01/2025;11154;CUR-20;143;1;63,8252;612,7499;650;09:34:47;09:35:19
TT;LUCIO;10479;TERMINAÇÃO;2;56;04/12/2024;28/01/2025;11154;CUR-20;143;1;63,8252;612,7499;590;10:55:32;10:56:53
TT;GUILHERME;10479;TERMINAÇÃO;3;56;04/12/2024;28/01/2025;11154;CUR-20;143;1;63,8252;612,7499;615;14:15:22;14:16:08
TT;LUCIO;10479;TERMINAÇÃO;4;56;04/12/2024;28/01/2025;11154;CUR-20;143;1;63,8252;595,9996;580;16:38:19;16:39:47
TT;GUILHERME;10479;TERMINAÇÃO;1;55;05/12/2024;28/01/2025;11155;CUR-21;144;1;63,8252;661,5;670;09:35:20;09:35:38
TT;LUCIO;10479;TERMINAÇÃO;2;55;05/12/2024;28/01/2025;11155;CUR-21;144;1;63,8252;661,5;690;10:57:00;10:57:28
TT;GUILHERME;10479;TERMINAÇÃO;3;55;05/12/2024;28/01/2025;11155;CUR-21;144;1;63,8252;661,5;685;14:16:11;14:16:31
TT;LUCIO;10479;TERMINAÇÃO;4;55;05/12/2024;28/01/2025;11155;CUR-21;144;1;63,8252;601;610;16:39:54;16:40:29
TT;GUILHERME;10479;TERMINAÇÃO;1;61;29/11/2024;28/01/2025;11147;CUR-22;150;1;63,8252;817,75;900;09:35:41;09:36:05
TT;LUCIO;10479;TERMINAÇÃO;2;61;29/11/2024;28/01/2025;11147;CUR-22;150;1;63,8252;817,75;870;10:59:41;11:00:16
TT;GUILHERME;10479;TERMINAÇÃO;3;61;29/11/2024;28/01/2025;11147;CUR-22;150;1;63,8252;817,75;895;14:16:33;14:16:54
TT;LUCIO;10479;TERMINAÇÃO;4;61;29/11/2024;28/01/2025;11147;CUR-22;150;1;63,8252;606;620;16:40:33;16:41:20
TT;GUILHERME;10479;TERMINAÇÃO;1;57;03/12/2024;28/01/2025;11153;CUR-23;151;1;63,8252;565,25;585;09:36:05;09:36:28
TT;LUCIO;10479;TERMINAÇÃO;2;57;03/12/2024;28/01/2025;11153;CUR-23;151;1;63,8252;565,25;550;11:01:04;11:01:44
TT;GUILHERME;10479;TERMINAÇÃO;3;57;03/12/2024;28/01/2025;11153;CUR-23;151;1;63,8252;565,25;570;14:17:17;14:17:46
TT;LUCIO;10479;TERMINAÇÃO;4;57;03/12/2024;28/01/2025;11153;CUR-23;151;1;63,8252;556;570;16:41:24;16:41:56
TT;GUILHERME;10479;TERMINAÇÃO;1;57;03/12/2024;28/01/2025;11152;CUR-24;140;1;63,8252;776,5;795;09:36:30;09:36:51
TT;LUCIO;10479;TERMINAÇÃO;2;57;03/12/2024;28/01/2025;11152;CUR-24;140;1;63,8252;776,5;760;11:01:44;11:02:30
TT;GUILHERME;10479;TERMINAÇÃO;3;57;03/12/2024;28/01/2025;11152;CUR-24;140;1;63,8252;776,5;820;14:17:47;14:18:11
