dbo,GA_AGD_DESENHO_POS,POS_XI,numeric,NULL,YES
dbo,GA_AGD_DESENHO_POS,POS_XF,numeric,NULL,YES
dbo,GA_AGD_DESENHO_POS,POS_YI,numeric,NULL,YES
dbo,GA_AGD_DESENHO_POS,POS_YF,numeric,NULL,YES
dbo,GA_AGD_DESENHO_POS,MINI_DESENHO,varchar,100,YES
dbo,GA_AGD_DESENHO_POS,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_DESENHO_POS,ID_FAMILIA,numeric,NULL,YES
dbo,GA_AGD_ENVIO,COD_EMPR,numeric,NULL,NO
dbo,GA_AGD_ENVIO,NR_DOCUME,numeric,NULL,NO
dbo,GA_AGD_ENVIO,AGD_CODIGO,varchar,15,NO
dbo,GA_AGD_ENVIO,COD_CLASSE_AGREG,numeric,NULL,NO
dbo,GA_AGD_ENVIO,COD_OS,numeric,NULL,YES
dbo,GA_AGD_ENVIO,LOR_DATA_LOTE,datetime,NULL,YES
dbo,GA_AGD_ENVIO,ID_MOEDA,numeric,NULL,YES
dbo,GA_AGD_ENVIO,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_EQUIP_POSIC_AGD,COD_EQUIPAMENTO,varchar,15,NO
dbo,GA_AGD_EQUIP_POSIC_AGD,COD_EMPR,numeric,NULL,NO
dbo,GA_AGD_EQUIP_POSIC_AGD,AGD_CODIGO,varchar,15,NO
dbo,GA_AGD_EQUIP_POSIC_AGD,COD_CLASSE_AGREG,numeric,NULL,NO
dbo,GA_AGD_EQUIP_POSIC_AGD,ID_DES_POS,numeric,NULL,NO
dbo,GA_AGD_EQUIP_POSIC_AGD,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_EQUIP_POSIC_AGD,ID_FAMILIA,numeric,NULL,YES
dbo,GA_AGD_FICHA_FOTO,COD_EMPR,numeric,NULL,NO
dbo,GA_AGD_FICHA_FOTO,ID_FOTO,numeric,NULL,NO
dbo,GA_AGD_FICHA_FOTO,ID_FAMILIA,varchar,10,NO
dbo,GA_AGD_FICHA_FOTO,ID_FICHA,varchar,10,NO
dbo,GA_AGD_FICHA_FOTO,FOT_CAMINHO,varchar,500,NO
dbo,GA_AGD_FICHA_FOTO,FOT_QTDINT,numeric,NULL,YES
dbo,GA_AGD_FICHA_FOTO,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_FICHA_PECA,ID_FICPEC,numeric,NULL,NO
dbo,GA_AGD_FICHA_PECA,COD_PECA,varchar,10,YES
dbo,GA_AGD_FICHA_PECA,COD_EMPR,numeric,NULL,YES
dbo,GA_AGD_FICHA_PECA,FICP_SEQ,numeric,NULL,YES
dbo,GA_AGD_FICHA_PECA,FICP_QTDE,numeric,NULL,YES
dbo,GA_AGD_FICHA_PECA,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_FICHA_VARIAVEL,ID_FAMILIA,varchar,10,NO
dbo,GA_AGD_FICHA_VARIAVEL,ID_FICHA,varchar,10,NO
dbo,GA_AGD_FICHA_VARIAVEL,ID_VARIAVEL,numeric,NULL,NO
dbo,GA_AGD_FICHA_VARIAVEL,COD_EMPR,numeric,NULL,NO
